,X,Y,Z
0,-6015.029271682234,-3813.168104704756,-52.856450875864994
1,-6100.096948798896,-3813.038331318654,-53.136606961407495
2,-5934.723610139921,-3811.548648244931,-52.724893377685135
3,-6022.023296031913,-3807.8257304201616,-43.933106317816794
4,-6115.997102572357,-3800.9040034389072,-41.64753909730723
5,-5953.141995918505,-3797.4817087349866,-39.636774724181805
6,-6129.671096331313,-3790.4685871491783,-41.12507743821067
7,-6055.471512517312,-3782.2763638919564,-32.44403886724956
8,-5892.969077368312,-3779.9664275684836,-31.06683509006075
9,-5982.504037809966,-3775.056612847601,-31.992753812672902
10,-6154.014537730524,-3771.890697660306,-53.10273220164572
11,-5937.708428798166,-3745.7894862569765,-29.444748400578646
12,-6025.104341383666,-3742.520868364864,-29.885392191042627
13,-5863.109816930561,-3740.8791430639294,-31.06683351738036
14,-6121.069633273353,-3732.1693445389446,-31.001227345858638
15,-5984.354891695031,-3710.1556790187306,-29.885391910908538
16,-6153.45025860836,-3707.4354557990855,-50.34168196561768
17,-5907.823907334648,-3706.6691329473238,-29.44474701674983
18,-6077.488494121513,-3702.5127635992576,-31.001227275750523
19,-5833.28279218476,-3698.096131955514,-33.3744584131353
20,-6033.697595451851,-3672.462180196067,-29.72722348356774
21,-5954.444031914246,-3671.000847646373,-29.885392191042627
22,-5876.14379593595,-3665.2617383363513,-34.05999641141284
23,-6127.832658144684,-3664.062688847534,-33.71047673640908
24,-5802.305065615598,-3657.658763628486,-33.37445849928264
25,-6153.6458408404815,-3644.3480143963607,-48.70303829147292
26,-6079.988074587612,-3637.100313335191,-29.888468376751234
27,-6003.758875762223,-3633.270877256906,-29.72722387778896
28,-5922.741805667485,-3629.5645483620647,-33.34682904055671
29,-5845.1836525470135,-3624.8473231940125,-34.059996456814815
30,-5773.480030864876,-3617.4893590316915,-32.44978575172934
31,-6050.023216951566,-3597.8747959361776,-29.88846654252444
32,-6132.121624306761,-3597.27485292579,-30.86699098896929
33,-5972.033256539473,-3591.804002449848,-29.727223800437514
34,-5891.800778828821,-3589.1750874305417,-33.346829140156444
35,-5814.679557223614,-3585.962764948484,-32.524289805509795
36,-5741.522641094365,-3575.7268609111125,-28.816066231391517
37,-6172.582822637991,-3566.3660454316127,-46.70682118593345
38,-6102.1273304681845,-3558.0108015126793,-30.866989148792413
39,-6018.275651874529,-3556.379236871836,-29.888466509798832
40,-5941.112451430765,-3551.440937961229,-29.72722387778896
41,-5864.182444656429,-3548.0822945651125,-32.108518072541244
42,-6196.835195129489,-3547.8393595316998,-92.61869892999994
43,-5785.618814521152,-3542.006257702393,-27.982140432057037
44,-5711.9255642009475,-3537.0229910932594,-28.816066754484268
45,-6147.539246801589,-3523.266896333335,-38.87900574275528
46,-6070.3550495119935,-3516.4829373963485,-30.866989208681616
47,-5987.373817321394,-3516.040936236225,-29.88846654252444
48,-5576.343811260971,-3515.1271642845445,-22.901703775617364
49,-5910.844536728441,-3512.3756501969638,-29.710980617677194
50,-5832.2474513798725,-3506.3490648104303,-25.749509030370206
51,-6187.942006003605,-3492.3554143251176,-48.78294052936286
52,-5770.9220805803525,-3491.882799384078,-11.08640902769963
53,-5622.761429383581,-3479.5584878576146,-15.70435943481749
54,-5705.06923385299,-3479.3211807782695,-2.8747130181598095
55,-5957.342082824212,-3476.7949192715046,-28.36900210385204
56,-6039.474580531668,-3476.172526127494,-30.866989148792413
57,-5880.364302231464,-3469.5538259239192,-25.168831907144977
58,-6217.7466984166385,-3469.5523377164295,-85.20223663596164
59,-6136.812003411085,-3465.5724688566843,-34.26375634330634
60,-5556.34701717633,-3465.4976060040553,-31.559687881775346
61,-5811.577332691501,-3460.776117381359,-15.424339918095825
62,-6244.2027661077345,-3449.311238430302,-123.13777723014081
63,-5746.211129654523,-3447.8287701327467,-5.443510522672227
64,-5667.750813225618,-3445.084232149416,-8.507014563034318
65,-5587.254224364467,-3441.834275500638,-16.462771825720495
66,-5925.430092836136,-3435.09175075564,-28.369002409765727
67,-6012.328606769558,-3434.718274861153,-31.775418636233837
68,-6179.027473813458,-3433.2325969289036,-48.78294020546957
69,-5855.956906254495,-3426.8198334929666,-21.414224607581218
70,-6105.95879772004,-3425.297646887697,-34.2637563026903
71,-5783.478888107731,-3419.3018505491605,-9.690322687469575
72,-6201.490522482309,-3416.0244002622767,-93.27892330039805
73,-5706.313142172868,-3415.534870159954,-3.109006174688602
74,-5625.85710184878,-3412.2789474267106,-14.0252416656474
75,-5552.5992302118075,-3406.530484886824,-33.68039538227015
76,-5977.543720884398,-3395.2401528363816,-30.86698921489051
77,-5898.199852862623,-3394.4983537637454,-29.37830541044991
78,-6066.745821918048,-3393.0772754431778,-33.65272239893858
79,-6148.191586844338,-3392.980382166494,-48.78294052936286
80,-5572.554099514673,-3391.237436902577,-20.704186800322532
81,-5826.020770092441,-3386.7378086887966,-19.699126470391832
82,-6242.589051607633,-3384.540180006887,-121.98396481628251
83,-5749.233635564705,-3382.6459541990807,-7.7919893660803154
84,-5664.800252583045,-3382.463097645789,-10.000910308125697
85,-6180.50129645401,-3368.2564304651805,-109.79519602333426
86,-6106.329030096483,-3362.7875161414195,-37.86553975377626
87,-5612.82611985229,-3360.3736948204723,-19.327010794587352
88,-5861.020069084416,-3359.947300505174,-22.819572109519243
89,-5947.897990689167,-3356.4726599303613,-30.866989148792413
90,-6031.974373128522,-3353.616712884993,-32.74429284979706
91,-5793.046523184016,-3349.0732185420197,-14.762404220027065
92,-5709.052725877719,-3348.5822977795538,-6.617785676644758
93,-5552.979868990977,-3344.3708151279616,-35.14628682914923
94,-6211.779240660429,-3344.322003594181,-121.98396526292927
95,-5886.208415054158,-3340.6666689419817,-25.51418312711968
96,-6139.515281877287,-3337.3928191265436,-49.67512728043215
97,-5566.538262953161,-3333.985662305862,-24.368914862256332
98,-6151.378093610003,-3328.3151892789,-125.119262227608
99,-5655.121528331469,-3327.9592649603605,-17.423387144003527
100,-6073.0105921901,-3322.2360747790794,-44.224548244656205
101,-5992.646321346523,-3322.2342277566936,-40.38821431248107
102,-5828.887814518195,-3321.6089205933104,-18.824056859467476
103,-5745.658638102881,-3320.5558962321647,-11.647730136143025
104,-6244.805537128278,-3319.04970716661,-126.20840806578084
105,-6005.463801585138,-3312.427148445792,-155.3979303878489
106,-6087.041188575973,-3311.506795189883,-154.1890174345416
107,-5925.193096768988,-3310.8255159875594,-33.301484278023224
108,-6175.9690506578,-3309.497761277107,-121.71848322833523
109,-5599.254231874158,-3308.926622281269,-21.52584786625829
110,-5774.284150019609,-3298.63948867092,-19.070206737120543
111,-5693.466507243407,-3298.5723722899575,-16.160970160994168
112,-5546.51262548613,-3295.2308190879344,-52.50041921394251
113,-5552.815344334081,-3290.401623899917,-29.67259424034063
114,-5871.838418661917,-3288.696931505592,-24.629986207791376
115,-6203.863074166243,-3288.1527693749945,-123.53591465060649
116,-6038.126881120706,-3287.4355427963014,-145.5989373059103
117,-6121.019256668336,-3285.5235666486637,-141.70393981642002
118,-5633.994003992057,-3282.3174351271346,-17.423387433959903
119,-5811.010836078836,-3270.520619656824,-21.961197220044653
120,-5584.488268194742,-3266.133568289587,-19.33870828805732
121,-6147.476930687158,-3265.291227693095,-132.6202130888823
122,-6234.501769030055,-3264.707507218338,-134.1031237478741
123,-5738.47524705619,-3264.07849476962,-20.13056049823342
124,-5910.402199999231,-3259.1464565854303,-30.348842271930835
125,-5674.092448099806,-3251.6037332573683,-19.0927524893944
126,-6088.68269677014,-3248.7536112098096,-145.74115146331414
127,-5529.224320911975,-3245.890482236232,-42.66746379178278
128,-5853.6645529526295,-3237.8638676753258,-23.14092335554693
129,-5939.251044083099,-3237.040298578795,-54.01177359059852
130,-5541.14766440914,-3236.7439880524244,-29.838862144716984
131,-6185.339374817042,-3236.337593946713,-132.28626463665597
132,-5628.833094777256,-3232.156196251905,-23.585520519446447
133,-5781.079858447234,-3231.427097435743,-21.961197645866093
134,-5709.2186294674575,-3224.6985730608703,-23.06234290994388
135,-6210.896704331279,-3216.7937537299435,-146.00841845965522
136,-5573.302962556646,-3212.07739620638,-25.628307922796296
137,-5888.314014542614,-3211.335373645494,-31.560965797674896
138,-6150.0958436794635,-3201.7643753179304,-144.84199269062213
139,-6233.265464831626,-3199.6882309943835,-160.0881947946591
140,-5671.359576186616,-3199.572055289919,-23.669182789231968
141,-5823.7180004208685,-3198.750002874752,-23.140923546468116
142,-5756.4869266275155,-3188.493068853166,-24.16003465873419
143,-5921.761008439407,-3185.7275189432617,-41.07662470226717
144,-5615.006667746741,-3180.0861433287687,-27.29767273718045
145,-6188.65758755196,-3172.259505914277,-161.0268464091616
146,-6276.207498126498,-3166.8502055335994,-161.92600490038734
147,-5867.294066991801,-3165.3541000041514,-31.734374505009043
148,-5796.2244578653035,-3158.055810883796,-34.1351067899582
149,-5728.405721704561,-3155.862827879313,-30.759684808374175
150,-5649.028331992064,-3153.987846805038,-34.685980195839136
151,-5574.565287109133,-3151.275784769647,-34.68287593918717
152,-5893.472829596888,-3145.291173677176,-55.921577850412575
153,-5829.335802774302,-3132.693929676904,-47.12623133777049
154,-5759.034779012694,-3132.3945914349674,-48.80185319903791
155,-5677.282621717183,-3132.3137503823477,-46.039822346591166
156,-5601.77422182156,-3130.4356080597618,-45.738684963253036
157,-6246.500202944754,-3128.002202127054,-161.92600518185364
